index,quoteTimestamp,bidPrice,bidSize,askPrice,askSize,midPrice
eurgbp,2024-12-20T21:59:48.882000+00:00,0.82973,1000000.0,0.83019,1000000.0,0.82996
eurjpy,2024-12-20T21:58:24.573000+00:00,163.052,1000000.0,163.187,1000000.0,163.1195
eurnzd,2024-12-20T21:59:49.394000+00:00,1.84135,1000000.0,1.84453,1000000.0,1.84294
eursgd,2024-12-20T21:59:48.882000+00:00,1.41089,1000000.0,1.41553,1000000.0,1.41321
euraud,2024-12-20T21:59:48.847000+00:00,1.66759,1000000.0,1.66879,1000000.0,1.66819
eurusd,2024-12-20T21:59:45.339000+00:00,1.04237,1000000.0,1.04357,1000000.0,1.04297
eurhkd,2024-12-20T21:59:44.234000+00:00,8.10466,1000000.0,8.11154,1000000.0,8.1081
eurcad,2024-12-20T21:59:49.090000+00:00,1.49888,1000000.0,1.49963,1000000.0,1.499255
gbpjpy,2024-12-20T21:59:48.527000+00:00,196.444,1000000.0,196.675,1000000.0,196.5595
gbpnzd,2024-12-20T21:59:42.189000+00:00,2.21995,1000000.0,2.22265,1000000.0,2.2213
gbpsgd,2024-12-20T21:59:48.550000+00:00,1.69944,1000000.0,1.70677,1000000.0,1.703105
gbpaud,2024-12-20T21:59:48.505000+00:00,2.00938,1000000.0,2.01088,1000000.0,2.01013
gbpusd,2024-12-20T21:59:46.887000+00:00,1.25632,1000000.0,1.25742,1000000.0,1.25687
gbphkd,2024-12-20T21:59:49.228000+00:00,9.76587,1000000.0,9.7779,1000000.0,9.771885
gbpcad,2024-12-20T21:59:47.793000+00:00,1.80615,1000000.0,1.80665,1000000.0,1.8064
jpyusd,2024-12-20T21:59:48.527000+00:00,0.0063899397,1000000.0,0.0063950068,1000000.0,0.0063924732
nzdjpy,2024-12-20T21:59:48.797000+00:00,88.281,1000000.0,88.546,1000000.0,88.4135
nzdsgd,2024-12-20T21:59:42.239000+00:00,0.76495,1000000.0,0.76819,1000000.0,0.76657
nzdusd,2024-12-20T21:59:45.270000+00:00,0.56515,1000000.0,0.56591,1000000.0,0.56553
nzdhkd,2024-12-20T21:59:49.430000+00:00,4.3946,1000000.0,4.4001,1000000.0,4.39735
nzdcad,2024-12-20T21:59:49.389000+00:00,0.81232,1000000.0,0.81351,1000000.0,0.812915
sgdjpy,2024-12-20T21:59:48.546000+00:00,115.112,1000000.0,115.716,1000000.0,115.414
sgdhkd,2024-12-20T21:59:46.434000+00:00,5.729,1000000.0,5.7482,1000000.0,5.7386
audjpy,2024-12-20T21:59:48.527000+00:00,97.749,1000000.0,97.88,1000000.0,97.8145
audnzd,2024-12-20T21:59:49.417000+00:00,1.10436,1000000.0,1.10656,1000000.0,1.10546
audsgd,2024-12-20T21:59:49.430000+00:00,0.84505,1000000.0,0.84886,1000000.0,0.846955
audusd,2024-12-20T21:59:49.407000+00:00,0.62478,1000000.0,0.6254,1000000.0,0.62509
audhkd,2024-12-20T21:59:49.407000+00:00,4.8573,1000000.0,4.8636,1000000.0,4.86045
audcad,2024-12-20T21:59:49.386000+00:00,0.89835,1000000.0,0.8991,1000000.0,0.898725
usdcny,,,,,,
usdjpy,2024-12-20T21:59:48.527000+00:00,156.372,1000000.0,156.496,1000000.0,156.434
usdsgd,2024-12-20T21:59:49.345000+00:00,1.35275,1000000.0,1.35727,1000000.0,1.35501
usdhkd,2024-12-20T21:59:45.340000+00:00,7.77305,1000000.0,7.77836,1000000.0,7.775705
usdcad,2024-12-20T21:59:49.146000+00:00,1.43694,1000000.0,1.43813,1000000.0,1.437535
hkdjpy,,,,,,
cadjpy,2024-12-20T21:59:48.550000+00:00,108.755,1000000.0,108.93,1000000.0,108.8425
cadsgd,2024-12-20T21:59:48.645000+00:00,0.94065,1000000.0,0.94453,1000000.0,0.94259
cadusd,2024-12-20T21:59:49.146000+00:00,0.6953474303,1000000.0,0.6959232814,1000000.0,0.6956353559
cadhkd,2024-12-20T21:59:49.146000+00:00,5.4052,1000000.0,5.413,1000000.0,5.4091
